Timestamp,clones,unique_cloner,views,unique_viewer
2022-03-14 00:00:00,12,2,91,6
2022-03-15 00:00:00,33,8,83,11
2022-03-18 00:00:00,11,2,22,9
2022-03-19 00:00:00,18,6,37,12
2022-03-21 00:00:00,27,4,18,6
2022-03-22 00:00:00,135,3,29,7
2022-03-23 00:00:00,172,11,58,7
2022-03-24 00:00:00,30,6,633,8
2022-03-25 00:00:00,85,5,445,12
2022-03-26 00:00:00,3,3,79,13
2022-03-27 00:00:00,1,1,6,2
2022-03-28 00:00:00,128,5,19,3
2022-03-29 00:00:00,79,2,308,13
2022-03-31 00:00:00,75,5,55,10
2022-04-01 00:00:00,39,4,224,11
2022-04-04 00:00:00,233,10,64,9
2022-04-05 00:00:00,293,1,1,1
2022-04-06 00:00:00,23,2,10,3
2022-04-07 00:00:00,1,1,1,1
2022-04-08 00:00:00,11,2,545,10
2022-04-11 00:00:00,9,1,97,7
2022-04-12 00:00:00,22,1,21,4
2022-04-13 00:00:00,121,4,28,10
2022-04-15 00:00:00,21,3,9,3
2022-04-15 00:00:00,21,3,27,8
2022-04-20 00:00:00,16,1,52,7
2022-04-21 00:00:00,39,4,131,22
2022-04-23 00:00:00,4,1,27,8
2022-04-24 00:00:00,0,0,23,2
2022-04-25 00:00:00,0,0,77,13
2022-04-26 00:00:00,0,0,19,5
2022-04-27 00:00:00,68,8,145,17
2022-04-28 00:00:00,11,2,135,19
2022-04-29 00:00:00,17,1,65,11
2022-04-30 00:00:00,0,0,2,2
2022-04-30 00:00:00,0,0,2,2
2022-05-02 00:00:00,38,5,96,13
2022-05-03 00:00:00,0,0,29,10
2022-05-04 00:00:00,1,1,24,4
2022-05-05 00:00:00,1,1,37,5
2022-05-06 00:00:00,2,2,35,7
2022-05-07 00:00:00,0,0,2,1
2022-05-07 00:00:00,0,0,2,1
2022-05-09 00:00:00,0,0,37,9
2022-05-10 00:00:00,9,1,71,15
2022-05-11 00:00:00,8,1,31,7
2022-05-12 00:00:00,70,8,246,28
2022-05-13 00:00:00,28,9,76,17
2022-05-14 00:00:00,0,0,15,3
2022-05-15 00:00:00,0,0,3,2
2022-05-16 00:00:00,1,1,41,4
2022-05-17 00:00:00,2,2,56,5
2022-05-18 00:00:00,1,1,52,10
2022-05-19 00:00:00,33,2,114,12
2022-05-20 00:00:00,33,6,103,16
2022-05-21 00:00:00,1,1,1,1
2022-05-22 00:00:00,0,0,8,2
2022-05-23 00:00:00,35,9,110,14
2022-05-24 00:00:00,1,1,31,12
2022-05-25 00:00:00,9,2,54,8
2022-05-26 00:00:00,44,2,88,16
2022-05-27 00:00:00,36,2,103,9
2022-05-28 00:00:00,0,0,1,1
2022-05-29 00:00:00,0,0,1,1
2022-05-30 00:00:00,0,0,16,6
2022-05-31 00:00:00,1,1,32,6
2022-06-01 00:00:00,1,1,36,15
2022-06-02 00:00:00,1,1,21,3
2022-06-03 00:00:00,14,4,45,8
2022-06-04 00:00:00,0,0,13,2
2022-06-05 00:00:00,0,0,4,3
2022-06-06 00:00:00,0,0,131,10
2022-06-07 00:00:00,2,1,20,13
2022-06-08 00:00:00,8,1,134,14
2022-06-09 00:00:00,8,1,41,7
2022-06-10 00:00:00,124,12,305,13
2022-06-11 00:00:00,29,2,75,4
2022-06-12 00:00:00,29,4,59,3
2022-06-13 00:00:00,53,5,93,3
2022-06-14 00:00:00,5,3,28,6
2022-06-15 00:00:00,24,1,74,8
2022-06-16 00:00:00,20,3,46,8
2022-06-17 00:00:00,3,3,29,5
2022-06-18 00:00:00,0,0,13,2
2022-06-19 00:00:00,1,1,2,1
2022-06-20 00:00:00,52,10,61,5
2022-06-21 00:00:00,1,1,80,12
2022-06-22 00:00:00,0,0,46,11
2022-06-23 00:00:00,65,9,352,8
2022-06-24 00:00:00,2,2,46,7
2022-06-25 00:00:00,1,1,8,3
2022-06-25 00:00:00,1,1,8,3
2022-06-27 00:00:00,41,5,99,10
2022-06-28 00:00:00,0,0,69,9
2022-06-29 00:00:00,3,2,73,2
2022-06-30 00:00:00,136,3,139,8
2022-07-01 00:00:00,16,4,53,8
2022-07-02 00:00:00,1,1,32,1
2022-07-03 00:00:00,1,1,1,1
2022-07-04 00:00:00,2,1,2,2
2022-07-05 00:00:00,4,3,23,7
2022-07-06 00:00:00,1,1,76,4
2022-07-07 00:00:00,40,1,173,13
2022-07-08 00:00:00,36,6,102,5
2022-07-11 00:00:00,0,0,2,1
2022-07-12 00:00:00,4,3,50,11
2022-07-13 00:00:00,2,2,20,6
2022-07-14 00:00:00,1,1,17,2
2022-07-15 00:00:00,51,1,67,7
2022-07-16 00:00:00,2,1,23,5
2022-07-17 00:00:00,0,0,11,1
2022-07-18 00:00:00,25,3,98,6
2022-07-19 00:00:00,2,2,54,10
2022-07-20 00:00:00,1,1,59,10
2022-07-21 00:00:00,33,3,56,7
2022-07-22 00:00:00,4,3,18,3
2022-07-24 00:00:00,0,0,1,1
2022-07-25 00:00:00,162,10,254,8
2022-07-26 00:00:00,51,7,107,6
2022-07-27 00:00:00,0,0,52,3
2022-07-28 00:00:00,42,2,73,5
2022-07-29 00:00:00,1,1,23,3
2022-07-30 00:00:00,1,1,15,1
2022-07-30 00:00:00,1,1,15,1
2022-08-01 00:00:00,1,1,34,7
2022-08-02 00:00:00,21,2,26,2
2022-08-03 00:00:00,113,7,169,7
2022-08-04 00:00:00,2,2,33,3
2022-08-05 00:00:00,3,2,46,7
2022-08-05 00:00:00,3,2,46,7
2022-08-07 00:00:00,0,0,2,1
2022-08-08 00:00:00,0,0,11,6
2022-08-09 00:00:00,76,4,91,5
2022-08-10 00:00:00,0,0,17,7
2022-08-11 00:00:00,3,2,10,2
2022-08-12 00:00:00,3,2,5,2
2022-08-12 00:00:00,3,2,5,2
2022-08-14 00:00:00,0,0,1,1
2022-08-15 00:00:00,36,5,57,3
2022-08-16 00:00:00,0,0,151,4
2022-08-17 00:00:00,37,5,117,5
2022-08-18 00:00:00,20,1,48,6
2022-08-19 00:00:00,26,4,25,4
2022-08-20 00:00:00,1,1,2,2
2022-08-21 00:00:00,70,1,71,3
2022-08-22 00:00:00,62,7,88,5
2022-08-23 00:00:00,87,12,206,7
2022-08-24 00:00:00,1,1,46,9
2022-08-25 00:00:00,1,1,48,5
2022-08-26 00:00:00,30,8,34,7
2022-08-27 00:00:00,6,3,3,3
2022-08-28 00:00:00,1,1,3,2
2022-08-29 00:00:00,3,1,21,6
2022-08-30 00:00:00,51,1,58,5
2022-08-31 00:00:00,18,6,28,6
2022-09-01 00:00:00,1,1,10,4
2022-09-02 00:00:00,2,2,33,2
2022-09-02 00:00:00,2,2,33,2
2022-09-04 00:00:00,0,0,3,2
2022-09-05 00:00:00,0,0,1,1
2022-09-06 00:00:00,32,1,94,6
2022-09-07 00:00:00,2,2,25,5
2022-09-08 00:00:00,24,1,99,5
2022-09-09 00:00:00,41,2,71,10
2022-09-10 00:00:00,0,0,9,3
2022-09-11 00:00:00,0,0,2,1
2022-09-12 00:00:00,70,7,138,16
2022-09-13 00:00:00,17,3,90,13
2022-09-14 00:00:00,2,2,31,12
2022-09-15 00:00:00,50,2,58,5
2022-09-16 00:00:00,31,3,78,8
2022-09-16 00:00:00,31,3,78,8
2022-09-18 00:00:00,2,2,7,2
2022-09-19 00:00:00,0,0,41,5
2022-09-20 00:00:00,1,1,10,5
2022-09-21 00:00:00,1,1,16,3
2022-09-22 00:00:00,16,4,100,7
2022-09-23 00:00:00,42,4,47,4
2022-09-23 00:00:00,42,4,47,4
2022-09-23 00:00:00,42,4,47,4
2022-09-26 00:00:00,1,1,81,8
2022-09-27 00:00:00,0,0,55,8
2022-09-28 00:00:00,93,5,261,7
2022-09-29 00:00:00,30,4,31,8
2022-09-30 00:00:00,3,3,10,4
2022-10-01 00:00:00,0,0,1,1
2022-10-02 00:00:00,1,1,2,1
2022-10-03 00:00:00,1,1,92,4
2022-10-04 00:00:00,2,1,53,7
2022-10-05 00:00:00,82,3,134,5
2022-10-06 00:00:00,0,0,38,12
2022-10-07 00:00:00,89,5,144,8
2022-10-08 00:00:00,16,3,64,5
2022-10-09 00:00:00,3,2,16,3
2022-10-10 00:00:00,2,1,51,9
2022-10-11 00:00:00,63,1,113,5
2022-10-12 00:00:00,1,1,29,7
2022-10-13 00:00:00,1,1,60,6
2022-10-14 00:00:00,2,2,27,4
2022-10-15 00:00:00,0,0,1,1
2022-10-16 00:00:00,1,1,2,1
2022-10-17 00:00:00,1,1,24,7
2022-10-18 00:00:00,3,3,32,7
2022-10-19 00:00:00,1,1,50,9
2022-10-20 00:00:00,79,8,144,8
2022-10-21 00:00:00,38,6,43,4
2022-10-22 00:00:00,2,2,5,3
2022-10-23 00:00:00,0,0,2,1
2022-10-24 00:00:00,3,3,13,6
2022-10-25 00:00:00,6,4,10,4
2022-10-26 00:00:00,0,0,10,3
2022-10-27 00:00:00,3,3,24,6
2022-10-28 00:00:00,54,6,97,9
2022-10-29 00:00:00,5,2,1,1
2022-10-31 00:00:00,3,3,77,7
2022-11-01 00:00:00,21,5,120,13
2022-11-02 00:00:00,20,5,80,15
2022-11-03 00:00:00,177,7,305,17
2022-11-04 00:00:00,163,7,181,15
2022-11-05 00:00:00,2,2,1,1
2022-11-06 00:00:00,1,1,4,2
2022-11-07 00:00:00,17,3,53,10
2022-11-08 00:00:00,20,4,18,3
2022-11-09 00:00:00,10,10,38,12
2022-11-10 00:00:00,3,3,31,8
2022-11-11 00:00:00,33,2,55,10
2022-11-12 00:00:00,36,5,10,3
2022-11-13 00:00:00,0,0,6,1
2022-11-14 00:00:00,165,8,222,20
2022-11-15 00:00:00,128,8,239,11
2022-11-16 00:00:00,194,8,424,15
2022-11-17 00:00:00,59,6,192,8
2022-11-18 00:00:00,115,5,156,8
2022-11-19 00:00:00,3,2,1,1
2022-11-20 00:00:00,62,3,47,3
2022-11-21 00:00:00,123,10,215,8
2022-11-22 00:00:00,7,5,44,10
2022-11-23 00:00:00,33,2,66,4
2022-11-24 00:00:00,1,1,1,1
2022-11-25 00:00:00,3,2,1,1
2022-11-26 00:00:00,0,0,28,2
2022-11-28 00:00:00,34,5,56,8
2022-11-29 00:00:00,0,0,48,7
2022-11-30 00:00:00,69,7,261,15
2022-12-01 00:00:00,62,9,102,9
2022-12-02 00:00:00,37,4,61,6
2022-12-03 00:00:00,0,0,7,3
2022-12-04 00:00:00,2,1,4,2
2022-12-05 00:00:00,39,6,92,11
2022-12-06 00:00:00,79,4,112,8
2022-12-07 00:00:00,72,7,111,11
2022-12-08 00:00:00,2,2,20,7
2022-12-09 00:00:00,4,4,8,3
2022-12-10 00:00:00,0,0,3,3
2022-12-12 00:00:00,2,1,12,5
2022-12-13 00:00:00,5,3,35,8
2022-12-14 00:00:00,1,1,38,7
2022-12-15 00:00:00,50,4,84,9
2022-12-16 00:00:00,71,6,91,13
2022-12-17 00:00:00,1,1,1,1
2022-12-19 00:00:00,1,1,22,6
2022-12-20 00:00:00,50,4,80,18
2022-12-21 00:00:00,0,0,12,5
2022-12-22 00:00:00,1,1,22,7
2022-12-23 00:00:00,1,1,10,7
2022-12-25 00:00:00,0,0,1,1
2022-12-28 00:00:00,10,5,2,2
2022-12-29 00:00:00,169,10,123,9
2022-12-31 00:00:00,2,1,3,3
2023-01-01 00:00:00,11,7,9,1
2023-01-02 00:00:00,1,1,17,4
2023-01-03 00:00:00,16,8,35,12
2023-01-04 00:00:00,10,6,32,10
2023-01-05 00:00:00,4,4,65,10
2023-01-06 00:00:00,1,1,11,6
2023-01-06 00:00:00,1,1,11,6
2023-01-08 00:00:00,1,1,6,4
2023-01-09 00:00:00,0,0,15,3
2023-01-10 00:00:00,2,2,5,4
2023-01-11 00:00:00,1,1,72,8
2023-01-12 00:00:00,1,1,22,9
2023-01-13 00:00:00,1,1,14,5
2023-01-13 00:00:00,1,1,14,5
2023-01-15 00:00:00,1,1,7,1
2023-01-16 00:00:00,0,0,46,4
2023-01-17 00:00:00,0,0,10,3
2023-01-18 00:00:00,0,0,11,2
2023-01-19 00:00:00,0,0,18,9
2023-01-20 00:00:00,1,1,17,8
2023-01-21 00:00:00,0,0,6,1
2023-01-22 00:00:00,0,0,1,1
2023-01-23 00:00:00,0,0,5,2
2023-01-24 00:00:00,0,0,16,5
2023-01-25 00:00:00,19,1,128,11
2023-01-26 00:00:00,102,6,170,13
2023-01-27 00:00:00,36,3,133,23
2023-01-28 00:00:00,0,0,11,3
2023-01-29 00:00:00,20,4,5,3
2023-01-30 00:00:00,1,1,65,13
2023-01-31 00:00:00,1,1,34,5
2023-02-01 00:00:00,3,2,41,12
2023-02-02 00:00:00,50,4,87,9
2023-02-03 00:00:00,4,2,8,4
2023-02-04 00:00:00,4,2,3,2
2023-02-05 00:00:00,2,2,1,1
2023-02-06 00:00:00,132,6,189,9
2023-02-07 00:00:00,35,3,80,7
2023-02-08 00:00:00,3,2,22,7
2023-02-09 00:00:00,1,1,83,8
2023-02-10 00:00:00,1,1,69,18
2023-02-11 00:00:00,2,2,4,1
2023-02-12 00:00:00,0,0,1,1
2023-02-13 00:00:00,2,1,10,6
2023-02-14 00:00:00,2,2,22,4
2023-02-15 00:00:00,4,3,120,23
2023-02-16 00:00:00,4,3,77,18
2023-02-17 00:00:00,62,2,70,10
2023-02-18 00:00:00,73,4,106,6
2023-02-19 00:00:00,3,3,18,2
2023-02-20 00:00:00,266,8,354,7
2023-02-21 00:00:00,19,3,55,10
2023-02-22 00:00:00,21,5,73,11
2023-02-23 00:00:00,81,7,158,8
2023-02-24 00:00:00,4,1,66,15
2023-02-26 00:00:00,0,0,16,5
2023-02-27 00:00:00,66,3,75,8
2023-02-28 00:00:00,21,5,76,10
2023-03-01 00:00:00,1,1,26,9
2023-03-02 00:00:00,7,4,75,9
2023-03-03 00:00:00,84,6,85,14
2023-03-04 00:00:00,2,1,16,3
2023-03-05 00:00:00,0,0,1,1
2023-03-06 00:00:00,3,3,11,6
2023-03-07 00:00:00,1,1,21,11
2023-03-08 00:00:00,2,1,46,8
2023-03-09 00:00:00,3,2,48,8
2023-03-09 00:00:00,3,2,81,13
2023-03-10 00:00:00,182,7,327,14
2023-03-11 00:00:00,57,4,70,8
2023-03-12 00:00:00,5,2,31,6
2023-03-13 00:00:00,55,7,77,7
2023-03-14 00:00:00,30,13,38,15
2023-03-15 00:00:00,4,2,36,7
2023-03-16 00:00:00,32,2,48,12
2023-03-17 00:00:00,135,9,345,14
2023-03-18 00:00:00,40,6,47,4
2023-03-19 00:00:00,32,1,66,5
2023-03-20 00:00:00,75,2,110,14
2023-03-21 00:00:00,67,8,96,9
2023-03-22 00:00:00,1,1,41,7
2023-03-23 00:00:00,1,1,46,14
